"Source:","/home/alejopm/Documents/zenite/MSWI19/pcb/mswi/mswi.sch"
"Date:","Wed 11 May 2022 10:47:42 AM -03"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","163"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Model","Mouser","Voltage"
"","","Q416","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q417","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q418","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q419","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q420","BC856","Transistor_BJT:BC856","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf","","",""
"","","Q601","si2308cds","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","~","","",""
"","","R201","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R202","4k7","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R203","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R301","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R302","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R303","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R304","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R305","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R306","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R307","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
"","","R308","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","",""
